grb_name,episode,model_name,z,z_source,H0,Om0,Y_ratio,e_min_keV,e_max_keV,kt_bb_keV,kt_bb_err_lower_keV,kt_bb_err_upper_keV,f_bb,f_bb_err_lower,f_bb_err_upper,script_R,Gamma,Gamma_err_lower,Gamma_err_upper,r0_cm,r0_err_lower_cm,r0_err_upper_cm,r_ph_cm,r_ph_err_lower_cm,r_ph_err_upper_cm,r_s_cm,r_s_err_lower_cm,r_s_err_upper_cm,saturated_fraction,n_samples,seed
GRB140206B,EX0,BAND_BB,0.807799049219937,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,350.00628829816975,8.773731516851058,10.354784695170338,7341048.070517898,1505431.1873022327,1750477.3538906556,291902795518.5198,25123732583.740387,22231278034.1416,2571187617.2286897,508213077.4522505,594977396.9032011,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.8891397050194614,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,368.5717752390922,9.239119149431247,10.904036598526147,7569850.253202239,1552351.727561213,1805035.3727814667,316966746467.3164,27280957559.989746,24140145200.648132,2791960152.83904,551850301.3513007,646064555.0961695,0.0,10000,12345
GRB140206B,EX0,BAND_BB,0.9786708907438301,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,388.59505467978954,9.741049782602886,11.496416662632328,7772309.980972486,1593870.2117654085,1853312.017360324,343124494309.36414,29532324356.971436,26132315792.884277,3022367255.4041004,597391864.2760849,699381169.2528319,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.077217345015942,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,410.19639378261655,10.282538195894517,12.135482939483268,7945017.987171728,1629287.5004592808,1894494.3459302075,370246585423.14417,31866691052.720398,28197930640.274536,3261268649.6207075,644612382.8990378,754663377.6358771,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.1856868528308275,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,433.5048158647976,10.866818662468006,12.825052528128879,8084985.407744385,1657990.6662895875,1927869.6620487478,398178224841.0708,34270734625.22162,30325200578.701477,3507300844.251448,693242353.7139993,811595665.9430041,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.3050786078412682,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,458.6588000724025,11.49736248809387,13.56922227422666,8189761.512294982,1679477.1371530565,1952853.587570401,426741937756.855,36729180025.239685,32500609150.552246,3758900575.664365,742972786.8145351,869816292.1837883,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.4364924166768323,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,485.8070578018681,12.177897473984444,14.37239174013672,8257532.999628101,1693375.0587660316,1969013.7397280391,455741394733.96967,39225129407.54169,34709203932.08618,4014338501.6817036,793461865.7169967,928925083.4963245,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.5811388300841898,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,515.1093811650431,12.912429185567419,15.239288306393405,8287197.219694835,1699458.3103135591,1976087.1909503778,484966201829.08813,41740474411.22656,36934961348.597534,4271761394.7560463,844343287.1346145,988493199.7233868,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.7403502942142053,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,546.7375567153158,13.70526385718199,16.17499420389754,8278403.658095096,1697655.0116901817,1973990.3608666463,514197363852.68536,44256366376.181274,39161202755.615295,4529240264.387188,895235772.7071805,1048074269.0254517,0.0,10000,12345
GRB140206B,EX0,BAND_BB,1.9155934247786435,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,580.8763373137195,14.561032754190819,17.184975266154765,8231560.737951944,1688048.9183625802,1962820.638217641,543213071051.9613,46753714396.119934,41371035151.90515,4784821328.3622265,945753143.820406,1107216182.7164965,0.0,10000,12345
GRB140206B,EX0,BAND_BB,2.0,swept,69.6,0.286,1.0,1.0,10000.0,58.46018220462686,3.97974721775271,4.040781925452933,0.057887956238487415,0.008008747028755342,0.008495153088755578,1.8210819986736826e-19,597.0897282747706,14.967459564296632,17.664641427001925,8198391.920418223,1681246.9778383467,1954911.5136089511,556125251329.8108,47865050667.48901,42354425082.3573,4898556580.478799,968233705.762157,1133534722.7510738,0.0,10000,12345
