grb_name,episode,model_name,t_start_s,t_stop_s,e_min_keV,e_max_keV,frame,kt_bb_keV,kt_bb_err_keV,f_bb,f_bb_err_lower,f_bb_err_upper,flux_bb_erg_cm2_s,flux_bb_err_lower_erg_cm2_s,flux_bb_err_upper_erg_cm2_s,flux_total_erg_cm2_s,flux_total_err_lower_erg_cm2_s,flux_total_err_upper_erg_cm2_s,bb_fraction_captured_in_band,z,z_source,H0,Om0,e_min_keV_rest,e_max_keV_rest,f_bb_rest,f_bb_rest_err_lower,f_bb_rest_err_upper,bb_fraction_captured_in_band_rest,n_samples,seed
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,2.108482517142911,swept,69.6,0.286,1.0,10000.0,0.22800499153017734,0.01438017277729653,0.014919473414115814,0.99999993483727,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,2.320794416806389,swept,69.6,0.286,1.0,10000.0,0.22808640440735034,0.014384373140359674,0.014896695671627158,0.9999999462802625,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,2.5544848872534636,swept,69.6,0.286,1.0,10000.0,0.2281630331500029,0.014361680761810214,0.014891934646520694,0.9999999559170929,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,2.8117066259517456,swept,69.6,0.286,1.0,10000.0,0.22826578836609596,0.014320688299800682,0.0148809522543846,0.9999999639713254,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,3.0948290944563026,swept,69.6,0.286,1.0,10000.0,0.22841419434973806,0.014283074128963097,0.014838229773961736,0.9999999706539049,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,3.4064603452898052,swept,69.6,0.286,1.0,10000.0,0.2285720494470398,0.014254175091001964,0.014803009307237103,0.9999999761598828,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,3.7494710466622787,swept,69.6,0.286,1.0,10000.0,0.22874895697493952,0.014212416271500494,0.01479692828660531,0.9999999806663816,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,4.1270209263400925,swept,69.6,0.286,1.0,10000.0,0.2289919639262673,0.014179629082540668,0.01476974526582081,0.999999984331644,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,4.542587878258432,swept,69.6,0.286,1.0,10000.0,0.22931125112819528,0.014151465078617087,0.01471548802801706,0.9999999872949664,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,5.000000000000001,swept,69.6,0.286,1.0,10000.0,0.22964840240399345,0.014099614544015732,0.014711509931310346,0.9999999896773267,10000,668559939
